sum,A,B,t0
2792901376.00, 112, 8, 95.7091
2792901376.00, 112, 16, 93.0837
2792901376.00, 112, 24, 92.3148
2792901376.00, 112, 32, 91.9062
2792901376.00, 112, 40, 91.3836
2792901376.00, 112, 48, 91.0381
2792901376.00, 112, 56, 90.9314
2792901376.00, 112, 64, 90.8452
2792901376.00, 112, 72, 90.7736
2792901376.00, 112, 80, 90.6979
2792901376.00, 112, 88, 90.6743
2792901376.00, 112, 96, 90.6113
2792901376.00, 112, 104, 90.5949
2792901376.00, 112, 112, 90.5586
2792901376.00, 112, 120, 90.5443
2792901376.00, 112, 128, 90.5255
2792901376.00, 120, 0, 417.2777
2792901376.00, 120, 8, 95.7676
2792901376.00, 120, 16, 93.1305
2792901376.00, 120, 24, 92.3726
2792901376.00, 120, 32, 91.9728
2792901376.00, 120, 40, 91.4338
2792901376.00, 120, 48, 91.0824
2792901376.00, 120, 56, 90.9617
2792901376.00, 120, 64, 90.8708
2792901376.00, 120, 72, 90.8021
2792901376.00, 120, 80, 90.7247
2792901376.00, 120, 88, 90.6959
2792901376.00, 120, 96, 90.6372
2792901376.00, 120, 104, 90.6197
2792901376.00, 120, 112, 90.5825
2792901376.00, 120, 120, 90.5467
2792901376.00, 120, 128, 90.5309
2792901376.00, 128, 0, 417.2851
2792901376.00, 128, 8, 96.2373
2792901376.00, 128, 16, 93.6229
2792901376.00, 128, 24, 92.8681
2792901376.00, 128, 32, 92.4420
2792901376.00, 128, 40, 91.9039
2792901376.00, 128, 48, 91.5406
2792901376.00, 128, 56, 91.4162
2792901376.00, 128, 64, 91.3331
2792901376.00, 128, 72, 91.2693
2792901376.00, 128, 80, 91.1789
2792901376.00, 128, 88, 91.1691
2792901376.00, 128, 96, 91.1074
2792901376.00, 128, 104, 91.0841
2792901376.00, 128, 112, 91.0512
2792901376.00, 128, 120, 91.0197
2792901376.00, 128, 128, 91.0147
